TL1a_DTT_284	TL1A_DTT_642	TL1a_DTT_173_Repeat	TL1a_DTT_131	TL1A_FP_641	TL1A_FP_642	TL1A_DTT_690	TL1A_FP_689	TL1a_FP_162	TL1a_DTT_174_Repeat	TL1A_DTT_673	TL1A_FP_638	TL1a_FP_88	TL1a_FP_140	TL1A_FP_626	TL1a_DTT_76_Repeat	TL1a_FP_230	TL1a_FP_89	TL1a_FP_207	TL1a_DTT_78	TL1a_DTT_231	TL1a_FP_234	TL1a_FP_205	TL1A_FP_640	TL1a_FP_65	TL1a_FP_128	TL1a_FP_64	TL1a_DTT_172_Re_extracted	TL1A_DTT_675	TL1a_FP_209	TL1A_FP_629	TL1a_DTT_268_Repeat	TL1a_FP_85	TL1a_DTT_267	TL1a_DTT_139	TL1a_FP_129	TL1A_DTT_626	TL1a_DTT_171	TL1a_FP_206	TL1a_DTT_143	TL1a_FP_287	TL1a_FP_242	TL1A_DTT_629	TL1a_FP_86	TL1a_FP_77	TL1a_FP_245	TL1a_FP_198	TL1a_FP_161	TL1a_FP_266	TL1a_FP_127	TL1a_FP_76	TL1A_FP_676	TL1a_FP_73	TL1a_FP_102	TL1a_DTT_169_Re_extracted	TL1a_FP_197	TL1a_DTT_209	TL1a_FP_159	TL1A_DTT_677	TL1A_DTT_676	TL1a_DTT_160	TL1A_FP_677	TL1a_FP_132	TL1a_FP_98	TL1a_FP_75	TL1a_FP_130	TL1a_DTT_234	TL1a_FP_173	TL1A_FP_685	TL1a_DTT_74	TL1a_DTT_158	TL1a_DTT_269_Repeat	TL1a_DTT_161_Repeat	TL1a_FP_193	TL1a_FP_139	TL1a_FP_90	TL1a_DTT_141	TL1a_DTT_210	TL1A_FP_686	TL1A_FP_674	TL1A_FP_678	TL1a_FP_265	TL1a_FP_141	TL1a_FP_174	TL1a_FP_144	TL1a_FP_195	TL1a_FP_142	TL1A_DTT_674	TL1a_FP_158	TL1a_DTT_143_Repeat	TL1a_DTT_129	TL1a_DTT_265	TL1a_DTT_285	TL1a_DTT_144_Repeat	TL1a_DTT_241	TL1a_DTT_159	TL1a_FP_62	TL1A_DTT_627	TL1a_FP_157	TL1a_DTT_243	TL1A_FP_625	TL1a_DTT_127_Repeat	TL1a_DTT_205	TL1A_DTT_640	TL1a_DTT_206	TL1a_DTT_64	TL1a_DTT_287	TL1a_DTT_157_Repeat	TL1a_DTT_233	TL1a_DTT_62	TL1a_DTT_65	TL1a_DTT_242	TL1a_FP_231	TL1a_FP_284	TL1A_DTT_688	TL1a_DTT_245_Repeat	TL1a_FP_74	TL1A_FP_630	TL1a_FP_267	TL1a_DTT_130_Repeat	TL1A_FP_639	TL1A_FP_673	TL1a_FP_172	TL1a_DTT_102_Repeat	TL1a_FP_269	TL1a_DTT_73	TL1a_DTT_195	TL1a_DTT_63	TL1a_FP_171	TL1A_FP_687	TL1a_DTT_85	TL1A_DTT_638	TL1a_DTT_86	TL1a_DTT_193	TL1A_FP_675	TL1a_FP_288	TL1a_FP_66	TL1a_DTT_207	TL1A_FP_637	TL1a_DTT_196_Repeat	TL1a_DTT_286	TL1a_DTT_90_Repeat	TL1A_DTT_678	TL1a_FP_143	TL1a_DTT_132_Repeat	TL1a_DTT_131_Repeat	TL1a_DTT_230	TL1a_DTT_75	TL1a_DTT_61_Repeat	TL1a_FP_87	TL1a_FP_100	TL1a_FP_99	TL1a_DTT_246	TL1a_DTT_128	TL1a_DTT_283	TL1a_DTT_194	TL1a_FP_196	TL1a_DTT_100_Repeat	TL1a_FP_131	TL1A_FP_688	TL1a_DTT_198_Repeat	TL1a_DTT_97	TL1a_DTT_88_Repeat	TL1A_DTT_630	TL1a_FP_246	TL1a_DTT_229	TL1a_FP_169	TL1a_FP_270	TL1a_DTT_162_Repeat	TL1a_DTT_66	TL1a_FP_160	TL1a_FP_283	TL1a_FP_194	TL1a_FP_61	TL1a_FP_241	TL1a_FP_286	TL1a_DTT_140	TL1a_FP_229	TL1a_DTT_89_Re_extracted	TL1a_FP_78	TL1a_FP_210	TL1a_FP_208	TL1A_DTT_641	TL1a_DTT_244_Repeat	TL1a_FP_101	TL1a_DTT_99	TL1A_DTT_639	TL1a_DTT_87	TL1a_DTT_197_Repeat	TL1a_FP_244	TL1a_DTT_266	TL1a_FP_232	TL1A_FP_690	TL1a_DTT_270_Repeat	TL1a_FP_233	TL1A_DTT_687	TL1a_FP_63	TL1a_DTT_232	TL1A_DTT_689	TL1a_DTT_142_Repeat	TL1a_DTT_77	TL1a_DTT_98	TL1a_FP_243	TL1A_DTT_628	TL1a_FP_268	TL1a_FP_97	TL1a_FP_285	TL1A_FP_627	TL1a_DTT_288	TL1a_DTT_170	TL1a_DTT_101_Repeat	TL1a_DTT_208	TL1a_FP_170
0	3	0	0	211	8	7	10	3	0	4	0	2	0	0	0	0	2	0	0	0	0	0	125	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	28	2	0	0	2	0	62	0	0	4	0	0	8	0	2	0	3	11	0	0	0	0	249	4	0	0	0	0	3	0	0	0	0	0	0	0	85	0	0	0	0	4	12	0	6	0	0	48	0	2	14	2	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	16	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	6	0	0	0	0	0	0	0	52	102	0	0	0	4	30	0	0	4	0	0	350	0	0	0	0	0	0	0	18	0	6	302	15	21	3	0	0	0	0	683	2	33	8	0	2	0	0	6	0	44	0	0	0	0	61	0	0	0	0	0	0	37	0
5	808	4272	0	15400	1934	1040	23612	21152	1708	753	4997	373	13903	1437	1752	4	12221	18280	39658	676	108	20913	22188	74710	39	12550	1520	445	168198	138	604	346	0	14794	17	837	11128	17695	121	1465	1407	1793	235	25152	120426	1287	15763	11	3	23443	101	10070	3572	900	2868	33957	0	62	105	267	3734	14	14023	15308	9873	785	48363	1904	8250	16	229	202	3	4412	19907	10334	7968	4935	272	3509	5	7852	29321	5906	8	1357	419	16	275	5	34	45	563	7787	174	15095	632	0	8384	2138	4	16518	1722	15052	43444	33	12	56	14317	46679	4163	7	12	754	16838	8429	1026	12	0	5359	391	368	255	215	21397	3	13032	6612	2737	495	1037	303	169	150	272	61088	25860	7043	0	2	409	48	3580	7	0	0	8625	75	339	5741	7385	38640	0	12	24	20	230	24	13334	0	11308	170	2663	130682	5207	16012	1830	0	32455	268	3	4	10825	1336	161	12227	3	777	49647	14282	182712	968	16564	484	13759	3404	1222	22	99526	356	65	5199	596	820	1818	24058	198	3034	202	40178	11164	1421	566	275	13497	29	832	3	7894	178	28162	4942
0	0	0	0	5	17	0	2	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	6	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	53	0	0	153	120	65	40	0	0	186	16	0	0	1597	0	0	0	0	0	0	7	0	202	0	0	0	127	857	3	11637	17	0	11	0	0	1711	0	0	0	4	0	5	0	10	2	0	0	75	0	0	1148	0	0	159	299	0	0	69	477	0	5749	0	0	0	0	0	98	0	0	0	7	0	0	0	0	0	0	0	1077	193	80	0	38	0	0	0	920	0	0	0	70	0	0	13	0	0	605	0	0	3060	0	0	71	0	0	0	0	0	0	0	0	0	0	10	0	0	897	44	0	2	2385	12	0	272	0	0	0	0	0	0	0	0	0	1404	5	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	336	0	0	0	49	36	0	0	18	0	0	0	0	0	0	0	4	0	0	487	0	12	0	51	0	0	0	0	0	0	8	0	0	469	33	5	0	0	0	35	0	0	0	0	693	24	0	0	1229	0	0	0	0	0
1505	184	15	0	27	68	167	15	6	25	518	4	10090	8	217	295	523	20	6	17	139	1263	3	22	11	8	4	35	1444	0	415	13	14610	5	0	6	427	7	6	0	225	6	17	11465	92	494	88	3	10	20	4	15	6	8210	1547	16	0	0	10	155	7	16	7	4	175	18	1923	561	0	4	11	1589	0	122	3	329	5	0	0	319	111	19	3	159	10	10	5	824	2	259	4	2	1922	311	3	10	4	315	6	0	345	4	5	181	4	5	1034	0	1055	2	3	0	404	7946	18	0	1121	511	6	5	0	1145	79	0	56	2	2	2	4	0	6336	0	5377	9	583	5115	930	10	0	3	581	594	301	147	0	0	93	0	858	10318	2727	0	3390	3	5108	6	5	342	4	71	10	4	723	87	57	7	12	13	42	0	5	4719	7	10	2	356	5	571	0	16	8	3	150	184	8960	38	0	2045	0	15	4	17	30	40	102	0	3	95	146	834	6	0	7	157	11	0	4685	312	763	14	210	21	2
0	126	0	0	25	22	110	11	0	0	395	0	10	0	735	0	181	0	0	0	121	11	0	6	0	0	0	22	194	1	0	101	0	0	0	0	375	0	0	8	0	0	0	40	0	267	0	0	2013	0	0	9	0	0	299	8	0	0	5	31	58	14	0	0	0	0	17	151	0	0	5	17	0	105	0	0	0	0	0	146	2	3069	0	206	0	102	0	141	0	15	0	245	0	0	0	22	0	165	0	0	1196	0	0	84	0	0	0	99	3	0	0	0	43	0	12	9	0	161	0	0	0	417	0	0	58	0	110	0	0	0	135	0	39	1099	63	36	0	0	0	3	0	13	21	0	0	0	98	0	0	4	0	0	0	0	0	473	82	0	6	169	161	0	2	0	2	0	0	0	34	0	0	0	0	0	0	122	0	359	246	0	6	0	59	35	0	0	0	111	36	0	270	0	27	58	0	0	0	5	118	0	0	0	0	94	0	0	0	238	48	0	9	0	0
2	7	233	7	13	57	7	42	71	227	73	0	0	4	0	0	0	0	216	0	5	9	321	3	0	0	0	22	0	893	0	787	0	0	38	0	0	0	196	8	0	37	0	0	8	322	58	60	0	0	0	2	0	0	0	0	5611	0	0	9	158	18	0	0	0	0	43	0	0	0	2	25	99	0	2	0	24	1927	0	0	52	0	0	8	0	0	0	3	0	32	2	9	2	4	88	21	0	0	0	75	2	34	693	2	520	0	3	0	0	0	2	98	0	0	3	6986	0	14	0	10	0	0	116	0	6	0	0	2	0	0	3	0	0	2	0	0	0	463	0	8	0	0	0	0	33	15	2	0	0	0	0	0	1955	5	0	0	0	0	0	23	42	0	0	6	919	0	0	33	2	0	4	0	0	0	31	0	86	0	33	0	83	18304	4	23595	0	0	0	0	8	438	0	2	6	61	31	0	0	177	20	148	0	0	34	0	8	0	0	0	0	0	0	29939	0
307	184	0	0	35	102	59	12	11	0	159	13	57	0	873	0	1450	0	0	0	325	1298	0	27	0	22	0	95	845	15	379	999	114	126	0	18	470	0	0	0	19	0	11	79	7	49	29	6	151	59	26	12	0	56	129	111	0	3	5	192	24	29	12	0	0	0	2258	172	0	0	6	209	20	163	0	0	0	40	2	800	117	205	0	185	3	77	64	636	6	0	26	107	599	0	0	24	0	188	29	0	1153	31	0	111	0	0	55	9	3970	0	0	0	771	721	2	0	7	713	92	115	0	1730	20	0	261	0	43	0	0	0	160	0	48	79	387	142	8	4	2	109	194	0	165	80	0	0	253	0	0	58	32	0	39	32	621	96	64	7	14	214	62	0	0	70	34	6	2	39	2	0	131	398	94	0	0	50	0	1709	290	0	78	0	97	29	78	0	2	98	33	5	25	242	26	528	385	0	0	1148	75	0	0	0	0	292	93	0	196	407	178	0	0	161	14
0	0	37	0	0	0	33	0	0	3	145	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	549	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	27	0	0	0	136	0	0	0	0	0	0	0	0	0	0	3	13	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	494	0	0	2	0	0	0	0	0	0	0	0	0	21	0	3	0	0	0	5	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	2	0	0	2	0	0	0	96	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	100	0	2	0	0	0	0	0	0	0	0	90	2	0
405	344	0	0	36	84	27	20	53	4	52	10	3957	0	490	75	7628	9	0	0	778	106	0	10	2	1396	0	2988	116	87	0	16	3272	864	0	873	302	0	0	0	3295	0	0	3082	58	471	275	19	3815	545	67	26	0	3096	1632	244	0	336	13	44	207	39	1365	2	70	17	243	1154	0	0	104	388	22	219	3	157	2	0	0	380	7	1764	0	1506	29	744	985	101	452	73	740	632	83	109	18	258	0	261	1969	4	790	1438	0	216	2	0	177	393	88	0	0	0	8234	348	2	0	528	445	2537	30	0	803	3992	0	59	0	475	0	7	0	1568	6	936	398	676	1252	314	18	0	12	628	139	11	788	0	0	801	0	180	4138	1084	0	858	571	615	461	536	0	4	101	0	0	31	88	240	56	7	5	76	0	586	665	242	0	0	335	0	3434	347	2	915	11	134	33	3944	33	2	2436	0	24	291	57	6	127	28	0	0	66	11	328	2	0	0	155	1223	0	812	860	5	19	52	15	28
