Species	KO	Reac	Prod	stoichReac	stoichProd	normalized_copy_number	LB	UB	Rev
Spirosoma_linguale_DSM_74	12DGR180ti	12dgr180[e]	12dgr180[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	12PPDt	12ppd_S[e]	12ppd_S[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	1P4H2CBXLAH	h2o[c]	nh4[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	1P4H2CBXLAH	h[c]	nh4[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	1P4H2CBXLAH	1p4h2cbxl[c]	nh4[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	1P4H2CBXLAH	h2o[c]	25dop[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	1P4H2CBXLAH	h[c]	25dop[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	1P4H2CBXLAH	1p4h2cbxl[c]	25dop[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	23DHMPO	23dhmp[c]	h[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	23DHMPO	nadp[c]	h[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	23DHMPO	23dhmp[c]	3h3mop[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	23DHMPO	nadp[c]	3h3mop[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	23DHMPO	23dhmp[c]	nadph[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	23DHMPO	nadp[c]	nadph[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	26DAPLLAT	26dap_LL[c]	h2o[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	26DAPLLAT	akg[c]	h2o[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	26DAPLLAT	26dap_LL[c]	h[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	26DAPLLAT	akg[c]	h[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	26DAPLLAT	26dap_LL[c]	thdp[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	26DAPLLAT	akg[c]	thdp[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	26DAPLLAT	26dap_LL[c]	glu_L[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	26DAPLLAT	akg[c]	glu_L[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	2AHBUTI	2ahbut[c]	3h3mop[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	2DDPENTHL	2ddpent[c]	h2o[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	2DDPENTHL	2ddpent[c]	25dop[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	2DHPL	2dhp[c]	3mob[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	2DHPL	2dhp[c]	fald[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	2DMMQ8abc	h2o[c]	h[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	2DMMQ8abc	2dmmq8[e]	h[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	2DMMQ8abc	atp[c]	h[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	2DMMQ8abc	h2o[c]	2dmmq8[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	2DMMQ8abc	2dmmq8[e]	2dmmq8[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	2DMMQ8abc	atp[c]	2dmmq8[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	2DMMQ8abc	h2o[c]	adp[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	2DMMQ8abc	2dmmq8[e]	adp[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	2DMMQ8abc	atp[c]	adp[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	2DMMQ8abc	h2o[c]	pi[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	2DMMQ8abc	2dmmq8[e]	pi[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	2DMMQ8abc	atp[c]	pi[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	2HBO	2hb[c]	h[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	2HBO	nad[c]	h[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	2HBO	2hb[c]	2obut[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	2HBO	nad[c]	2obut[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	2HBO	2hb[c]	nadh[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	2HBO	nad[c]	nadh[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	2HYOXPLACt2r	h[e]	h[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	2HYOXPLACt2r	2hyoxplac[e]	h[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	2HYOXPLACt2r	h[e]	2hyoxplac[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	2HYOXPLACt2r	2hyoxplac[e]	2hyoxplac[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	2INSD	2ins[c]	h2o[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	2INSD	2ins[c]	dkdi[c]	1	1	0.25	0	1000	0
Spirosoma_linguale_DSM_74	2MBCOATA	2mbcoa[c]	coa[c]	1	1	0.25	-1000	1000	1
Spirosoma_linguale_DSM_74	2MBCOATA	ACP[c]	coa[c]	1	1	0.25	-1000	1000	1
