Species	KO	Reac	Prod	stoichReac	stoichProd	normalized_copy_number	LB	UB	Rev
Bacillus_mycoides_DSM_2048	12DGR180ti	12dgr180[e]	12dgr180[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	1P4H2CBXLAH	h2o[c]	nh4[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	1P4H2CBXLAH	h[c]	nh4[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	1P4H2CBXLAH	1p4h2cbxl[c]	nh4[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	1P4H2CBXLAH	h2o[c]	25dop[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	1P4H2CBXLAH	h[c]	25dop[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	1P4H2CBXLAH	1p4h2cbxl[c]	25dop[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	23DHMPO	23dhmp[c]	h[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	23DHMPO	nadp[c]	h[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	23DHMPO	23dhmp[c]	3h3mop[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	23DHMPO	nadp[c]	3h3mop[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	23DHMPO	23dhmp[c]	nadph[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	23DHMPO	nadp[c]	nadph[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	23PDE2	h2o[c]	h[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	23PDE2	23cump[c]	h[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	23PDE2	h2o[c]	3ump[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	23PDE2	23cump[c]	3ump[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	23PDE4	h2o[c]	h[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	23PDE4	23ccmp[c]	h[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	23PDE4	h2o[c]	3cmp[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	23PDE4	23ccmp[c]	3cmp[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	23PDE7	h2o[c]	h[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	23PDE7	23camp[c]	h[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	23PDE7	h2o[c]	3amp[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	23PDE7	23camp[c]	3amp[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	23PDE9	h2o[c]	h[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	23PDE9	23cgmp[c]	h[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	23PDE9	h2o[c]	3gmp[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	23PDE9	23cgmp[c]	3gmp[c]	1	1	1	0	1000	0
Bacillus_mycoides_DSM_2048	26DAPt2r	h[e]	h[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	26DAPt2r	26dap_M[e]	h[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	26DAPt2r	h[e]	26dap_M[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	26DAPt2r	26dap_M[e]	26dap_M[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2AHBUTI	2ahbut[c]	3h3mop[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2DHPL	2dhp[c]	3mob[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2DHPL	2dhp[c]	fald[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2HBO	2hb[c]	h[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2HBO	nad[c]	h[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2HBO	2hb[c]	2obut[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2HBO	nad[c]	2obut[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2HBO	2hb[c]	nadh[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2HBO	nad[c]	nadh[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2HMCOXT	2hmc[c]	oxalc[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2HYOXPLACt2r	h[e]	h[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2HYOXPLACt2r	2hyoxplac[e]	h[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2HYOXPLACt2r	h[e]	2hyoxplac[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2HYOXPLACt2r	2hyoxplac[e]	2hyoxplac[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2MBCOATA	2mbcoa[c]	coa[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2MBCOATA	ACP[c]	coa[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2MBCOATA	2mbcoa[c]	2mbutACP[c]	1	1	1	-1000	1000	1
Bacillus_mycoides_DSM_2048	2MBCOATA	ACP[c]	2mbutACP[c]	1	1	1	-1000	1000	1
