Species	KO	Reac	Prod	stoichReac	stoichProd	normalized_copy_number	LB	UB	Rev
Lactobacillus_ultunensis_DSM_16047	23PDE2	h2o[c]	3ump[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	23PDE2	23cump[c]	3ump[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	23PDE2	h2o[c]	h[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	23PDE2	23cump[c]	h[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	23PDE4	h2o[c]	h[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	23PDE4	23ccmp[c]	h[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	23PDE4	h2o[c]	3cmp[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	23PDE4	23ccmp[c]	3cmp[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	23PDE7	h2o[c]	h[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	23PDE7	23camp[c]	h[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	23PDE7	h2o[c]	3amp[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	23PDE7	23camp[c]	3amp[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	23PDE9	h2o[c]	h[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	23PDE9	23cgmp[c]	h[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	23PDE9	h2o[c]	3gmp[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	23PDE9	23cgmp[c]	3gmp[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	2HMCOXT	2hmc[c]	oxalc[c]	1	1	1	-1000	1000	1
Lactobacillus_ultunensis_DSM_16047	2MBCOATA	2mbcoa[c]	coa[c]	1	1	1	-1000	1000	1
Lactobacillus_ultunensis_DSM_16047	2MBCOATA	ACP[c]	coa[c]	1	1	1	-1000	1000	1
Lactobacillus_ultunensis_DSM_16047	2MBCOATA	2mbcoa[c]	2mbutACP[c]	1	1	1	-1000	1000	1
Lactobacillus_ultunensis_DSM_16047	2MBCOATA	ACP[c]	2mbutACP[c]	1	1	1	-1000	1000	1
Lactobacillus_ultunensis_DSM_16047	3HAD100	3hdecACP[c]	h2o[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD100	3hdecACP[c]	tdec2eACP[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD10M11	10m3hundecACP[c]	h2o[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD10M11	10m3hundecACP[c]	10mtundec2eACP[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD10M12	10m3hddcaACP[c]	h2o[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD10M12	10m3hddcaACP[c]	10mtddec2eACP[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD11M12	11m3hddcaACP[c]	h2o[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD11M12	11m3hddcaACP[c]	11mtddec2eACP[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD120	3hddecACP[c]	h2o[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD120	3hddecACP[c]	tddec2eACP[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD12M13	12m3htridecACP[c]	h2o[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD12M13	12m3htridecACP[c]	12mttritec2eACP[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD12M14	12m3hmyrsACP[c]	h2o[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD12M14	12m3hmyrsACP[c]	12mtmrs2eACP[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD13M14	13m3hmyrsACP[c]	h2o[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD13M14	13m3hmyrsACP[c]	13mtmrs2eACP[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD140	3hmrsACP[c]	h2o[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD140	3hmrsACP[c]	tmrs2eACP[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD14M15	14m3hpentdecACP[c]	h2o[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD14M15	14m3hpentdecACP[c]	14mtpentdec2eACP[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD14M16	14m3hpalmACP[c]	h2o[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD14M16	14m3hpalmACP[c]	14mtpalm2eACP[c]	1	1	1	0	1000	0
Lactobacillus_ultunensis_DSM_16047	3HAD15M16	15m3hpalmACP[c]	h2o[c]	1	1	1	0	1000	0
