# Constructed from biom file
#OTU ID	TL1a_DTT_173_Repeat	TL1a_DTT_76_Repeat	TL1a_DTT_172_Re_extracted	TL1a_DTT_169_Re_extracted	TL1a_DTT_245_Repeat	TL1a_DTT_244_Repeat	TL1a_DTT_142_Repeat	TL1a_DTT_78	TL1a_DTT_139	TL1a_DTT_171	TL1a_DTT_209	TL1a_DTT_74	TL1a_DTT_141	TL1a_DTT_210	TL1a_DTT_241	TL1a_DTT_243	TL1a_DTT_205	TL1a_DTT_206	TL1a_DTT_64	TL1a_DTT_62	TL1a_DTT_65	TL1a_DTT_242	TL1a_DTT_73	TL1a_DTT_63	TL1a_DTT_207	TL1a_DTT_75	TL1a_DTT_246	TL1a_DTT_97	TL1a_DTT_66	TL1a_DTT_140	TL1a_DTT_99	TL1a_DTT_77	TL1a_DTT_98	TL1a_DTT_170	TL1a_DTT_208	TL1A_DTT_642	TL1A_DTT_640	TL1A_DTT_638	TL1A_DTT_641	TL1A_DTT_639	TL1A_DTT_687	TL1A_DTT_689	taxonomy
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae	226.0	406.0	111.0	16.0	256.0	116.0	20.0	412.0	504.0	751.0	265.0	568.0	805.0	376.0	202.0	334.0	331.0	294.0	1750.0	1203.0	641.0	191.0	1475.0	1061.0	238.0	952.0	1271.0	900.0	890.0	232.0	1218.0	340.0	888.0	389.0	46.0	6.0	5.0	8.0	3.0	104.0	0.0	5.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae	166.0	8.0	433.0	777.0	100.0	168.0	14.0	106.0	541.0	2235.0	174.0	103.0	1358.0	486.0	747.0	576.0	1927.0	385.0	517.0	94.0	144.0	611.0	152.0	54.0	754.0	33.0	589.0	354.0	106.0	1107.0	153.0	295.0	77.0	1689.0	95.0	96.0	64.0	22.0	78.0	161.0	38.0	27.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae	48.0	49.0	363.0	187.0	0.0	0.0	86.0	156.0	906.0	1209.0	0.0	884.0	909.0	0.0	0.0	0.0	0.0	0.0	31.0	634.0	149.0	0.0	1077.0	571.0	0.0	499.0	56.0	1239.0	124.0	893.0	1478.0	274.0	809.0	1026.0	0.0	723.0	898.0	563.0	703.0	5270.0	765.0	248.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae	0.0	0.0	11.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	4.0	3.0	6.0	0.0	3.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae	380.0	824.0	606.0	5029.0	0.0	0.0	26.0	1245.0	6674.0	7297.0	0.0	6252.0	9486.0	0.0	42.0	3.0	1.0	0.0	253.0	13047.0	549.0	0.0	8106.0	6641.0	6.0	3296.0	2883.0	5275.0	512.0	4006.0	7486.0	1687.0	5330.0	5254.0	45.0	958.0	1073.0	708.0	1111.0	2674.0	1161.0	260.0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae	22.0	4.0	11.0	181.0	0.0	0.0	0.0	18.0	92.0	86.0	0.0	77.0	131.0	0.0	0.0	0.0	0.0	0.0	8.0	108.0	14.0	0.0	90.0	73.0	0.0	66.0	134.0	151.0	0.0	144.0	141.0	12.0	102.0	71.0	0.0	68.0	59.0	23.0	57.0	167.0	42.0	16.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae	135.0	0.0	297.0	23.0	94.0	492.0	319.0	0.0	32.0	51.0	23.0	0.0	45.0	75.0	5.0	13.0	119.0	13.0	0.0	0.0	0.0	6.0	0.0	0.0	21.0	0.0	40.0	527.0	0.0	64.0	13.0	0.0	0.0	35.0	123.0	0.0	9.0	0.0	8.0	0.0	0.0	4.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae	0.0	46.0	44.0	67.0	7.0	0.0	0.0	24.0	52.0	50.0	4.0	56.0	103.0	29.0	73.0	80.0	201.0	46.0	0.0	26.0	12.0	39.0	26.0	21.0	84.0	16.0	14.0	121.0	2.0	25.0	67.0	9.0	74.0	41.0	0.0	12.0	21.0	4.0	13.0	55.0	42.0	2.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	781.0	3355.0	83.0	345.0	694.0	120.0	13603.0	0.0	11.0	62.0	3.0	5.0	4.0	0.0	26.0	6.0	1.0	25.0	4.0	2.0	0.0	6.0	56.0	2.0	5.0	0.0	32.0	5.0	25.0	6.0	5.0	6.0	44.0	14.0	57.0	0.0	13.0	0.0	6.0	0.0	0.0	14.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae	4355.0	2099.0	298.0	472.0	0.0	0.0	5.0	10114.0	386.0	2770.0	0.0	538.0	463.0	0.0	27.0	0.0	1.0	0.0	20689.0	218.0	11014.0	19.0	942.0	421.0	0.0	1208.0	0.0	518.0	22357.0	231.0	782.0	10133.0	1116.0	952.0	0.0	266.0	303.0	179.0	148.0	175.0	647.0	2085.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	18.0	82.0	531.0	497.0	41.0	68.0	379.0	0.0	5.0	0.0	0.0	3.0	3.0	5.0	29.0	4.0	7.0	62.0	0.0	0.0	0.0	0.0	9.0	0.0	18.0	8.0	78.0	0.0	0.0	3.0	13.0	0.0	0.0	21.0	1975.0	38.0	16.0	0.0	6.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010	0.0	0.0	47.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae	0.0	0.0	16.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	13.0	16.0	5.0	3.0	0.0	7.0	0.0	0.0	7.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae	0.0	24.0	115.0	15.0	0.0	26.0	0.0	0.0	5.0	0.0	0.0	17.0	0.0	38.0	14.0	3.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	28.0	7.0	50.0	0.0	0.0	12.0	3.0	37.0	35.0	18.0	0.0	4.0	0.0	0.0	22.0
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae	4017.0	2425.0	1237.0	1827.0	15806.0	15941.0	137.0	38839.0	13427.0	9690.0	32490.0	7528.0	9587.0	10147.0	6284.0	7253.0	22878.0	13449.0	50779.0	19237.0	45217.0	3483.0	19343.0	12515.0	24168.0	7859.0	36928.0	10033.0	31083.0	11236.0	12670.0	38937.0	9580.0	7124.0	26981.0	700.0	1523.0	790.0	818.0	4813.0	1513.0	2864.0
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae	0.0	0.0	0.0	7.0	0.0	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.0	0.0	36.0	167.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae	303.0	46.0	82.0	60.0	25.0	31.0	6.0	893.0	196.0	762.0	0.0	236.0	350.0	0.0	0.0	0.0	0.0	0.0	1099.0	166.0	1122.0	0.0	502.0	80.0	15.0	80.0	52.0	706.0	1197.0	222.0	348.0	853.0	335.0	488.0	12.0	96.0	149.0	98.0	86.0	297.0	85.0	129.0
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae	0.0	242.0	19.0	0.0	0.0	0.0	10.0	600.0	910.0	0.0	0.0	509.0	1209.0	0.0	0.0	0.0	0.0	0.0	1699.0	1285.0	653.0	0.0	1603.0	481.0	0.0	305.0	0.0	877.0	589.0	519.0	847.0	716.0	437.0	0.0	0.0	55.0	65.0	110.0	57.0	529.0	102.0	39.0
