Species	KO	Reac	Prod	stoichReac	stoichProd	normalized_copy_number	LB	UB	Rev
Bacillus_flexus_27Col1_1E	12DGR180ti	12dgr180[e]	12dgr180[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	1P4H2CBXLAH	h2o[c]	nh4[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	1P4H2CBXLAH	h[c]	nh4[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	1P4H2CBXLAH	1p4h2cbxl[c]	nh4[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	1P4H2CBXLAH	h2o[c]	25dop[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	1P4H2CBXLAH	h[c]	25dop[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	1P4H2CBXLAH	1p4h2cbxl[c]	25dop[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	23DHMPO	23dhmp[c]	h[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	23DHMPO	nadp[c]	h[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	23DHMPO	23dhmp[c]	3h3mop[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	23DHMPO	nadp[c]	3h3mop[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	23DHMPO	23dhmp[c]	nadph[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	23DHMPO	nadp[c]	nadph[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	23PDE2	h2o[c]	h[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	23PDE2	23cump[c]	h[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	23PDE2	h2o[c]	3ump[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	23PDE2	23cump[c]	3ump[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	23PDE4	h2o[c]	h[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	23PDE4	23ccmp[c]	h[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	23PDE4	h2o[c]	3cmp[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	23PDE4	23ccmp[c]	3cmp[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	23PDE7	h2o[c]	h[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	23PDE7	23camp[c]	h[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	23PDE7	h2o[c]	3amp[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	23PDE7	23camp[c]	3amp[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	23PDE9	h2o[c]	h[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	23PDE9	23cgmp[c]	h[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	23PDE9	h2o[c]	3gmp[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	23PDE9	23cgmp[c]	3gmp[c]	1	1	0.166666666666667	0	1000	0
Bacillus_flexus_27Col1_1E	2AHBUTI	2ahbut[c]	3h3mop[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	2DHPL	2dhp[c]	3mob[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	2DHPL	2dhp[c]	fald[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	2HBO	2hb[c]	h[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	2HBO	nad[c]	h[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	2HBO	2hb[c]	2obut[c]	1	1	0.166666666666667	-1000	1000	1
Bacillus_flexus_27Col1_1E	2HBO	nad[c]	2obut[c]	1	1	0.166666666666667	-1000	1000	1
