feature,Kingdom,Phylum,Class,Order,Family,Genus,Species
f7040b791e2687141adc7be4ad81afd4,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_5,NA
5adc2daa2981bc07e21b14d53496ff67,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,NA
f6fdab15a19dca0441b10f8c0969cb4d,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,NA
720832273d925b4115ed01c6d3df48eb,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,NA
96c7cedbae877361d087a8b39206d408,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,NA
b472d29ebb2e4b918cf5f7e0d7b46ce9,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_AD3011_group,NA
2f65298490e0fe48b880145471ec54eb,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
c42634f8d1aad4956aa9638465e86565,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,NA
5ae5ad642b9c2cc68c4fc59e4902ff63,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-006,NA
f5fb42e8863737981eb6e04a3de22e29,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA
3bffd5a2b1cf48b46d1e51628c3551fc,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,DNF00809,NA
6d5171bbc6ef97262119e6d152d82164,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Candidatus_Arthromitus,NA
235c319ab46f87d377a28a34ba10bfa1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Parasutterella,NA
89c209abd89a5232343a4c87c93cb4ea,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
f745d265f36ea7eac26d97280e690796,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,NA
48082d1ff66a9207ede6bf05e9846d6e,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,NA
b3111baca54677926264de26b4a9bf7a,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,A2,NA
87c1f25ee57f851893eda4c10a460604,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-001,NA
e8ed0e081283c5963ce9860944f651c6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor,NA
b3ef12a80d40902556c2fd4de5924438,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus,NA
a30dd65fa0f17c9ffe88b70cc66d024b,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis,NA
4c8288bfbd76958c0c094d87b97650f8,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
fbbeae3dceada6928b2cdc472f5d9901,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,NA
9558d82710beac18e454f983c9db7cca,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_9,NA
f9130f059b9380b9961aef118b3a529e,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,NA
f0deb5bac19f248fce27d93d918d3464,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Candidatus_Stoquefichus,NA
ad4e760fa406db6470c29766422a47d2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA
292a57429f3bed0adc53c07dc4c62c9f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,NA
e5450be8d98da604aa4a1fa0ed722fe1,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Parvibacter,NA
49e9cee41713f4c00f8b171ecaff09b5,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,GCA-900066575,NA
f5bf4e20e8a4c371b702c2cf491f56e8,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,ASF356,NA
18285598fe8215895e323b758326f2e2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,GCA-900066225,NA
9ff8565480eb4d1ae1feec02a0dfce35,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,NA
028e2c1b650e2e2b5847154a153e0166,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA
8fde870b4c3464dbd28fb743c07f36f1,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-010,NA
3311c81da0640c29e6d9ed4f0529d3d5,Bacteria,Firmicutes,Clostridia,Clostridiales,Defluviitaleaceae,Defluviitaleaceae_UCG-011,NA
4aa01b032f6f21994f27fd7c9ef08933,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-010,NA
cb48af0355580e3a4cfe6d22f05b6b14,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,NA
b08002696e45f7e121334d154e2f5d4a,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-004,NA
204736c3bd4a4c1f840e9fc99a5155d2,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,NA
bbf6f74f140636ff3f33ef2bc3d892a3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-014,NA
1e65ef9ba16ebcd3b8413c31e58cada1,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyricicoccus,NA
6f06d4c3412c12274598b1a4bc468d3a,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,NA
c8433912bf1d2d7d9dd177739211ae41,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,NA
8a8c39a3e855256f236f71f39bf300aa,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_6,NA
a172874a13d3e6df1391f0797d95d6bc,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,NA
762fd96b2d1336974fba68fedd33fefa,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,NA
76d6be90e19a660c9a84b35fa31d801c,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
7186c67c129c329bce7d6c988267b231,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_UCG-001,NA
17bccd87573679acdd1eda74fc49bde7,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_5,NA
8f2b821cd45696bb55b164853a1917c3,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenellaceae_R-7_group,NA
2e11ee45d4ccab0775222da825d3bd42,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,NA
b92f84c206887ecd667f142dd3606ac3,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,NA
a5641950b2a3a47827849d91242f0ead,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,NA
7f2a284a722c1b4a8d548cf5635d9d6e,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,NA
37e0f2e7c7ab2a2f738b92a61085aec0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_FCS020_group,NA
6f0b4058c92e83c77533a218739a0e38,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,NA
87ab9c664033e00f6b64f2afc71a6d90,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_NK4A214_group,NA
3e514d4fe509d063c262ab3e3b224da1,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-003,NA
772ad2feb9f19ddeace71e8e2e707858,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_NK4A136_group,NA
178d4eb06bd14fca2d3c300f9f05e384,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,NA
5b74065cc4963be8f6447b2c9ffcbc87,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Anaeroplasma,NA
eee9bab26577ab7978a3c7bb4a082922,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA
5167710b7280856d9e512a4f58068687,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-009,NA
07a0081d4bc5233563d0269fc2c734d0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Shuttleworthia,NA
5adc2daa2981bc07e21b14d53496ff67,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,NA
f6fdab15a19dca0441b10f8c0969cb4d,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,NA
720832273d925b4115ed01c6d3df48eb,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,NA
96c7cedbae877361d087a8b39206d408,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,NA
b472d29ebb2e4b918cf5f7e0d7b46ce9,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_AD3011_group,NA
2f65298490e0fe48b880145471ec54eb,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,NA
c42634f8d1aad4956aa9638465e86565,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,NA
5ae5ad642b9c2cc68c4fc59e4902ff63,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-006,NA
f5fb42e8863737981eb6e04a3de22e29,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,NA
04af8257d41718f9636b8bbc789b0fcf,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,NA
a589fa026973c67d0f1c7b741d85b90c,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,NA
3bffd5a2b1cf48b46d1e51628c3551fc,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,DNF00809,NA
6d5171bbc6ef97262119e6d152d82164,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Candidatus_Arthromitus,NA
235c319ab46f87d377a28a34ba10bfa1,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Parasutterella,NA
89c209abd89a5232343a4c87c93cb4ea,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
f745d265f36ea7eac26d97280e690796,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,NA
48082d1ff66a9207ede6bf05e9846d6e,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,NA
b3111baca54677926264de26b4a9bf7a,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,A2,NA
87c1f25ee57f851893eda4c10a460604,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-001,NA
e8ed0e081283c5963ce9860944f651c6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor,NA
b3ef12a80d40902556c2fd4de5924438,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Enterorhabdus,NA
2ce5f984c303607afe63f839e492f57b,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_NK4A136_group,NA
a30dd65fa0f17c9ffe88b70cc66d024b,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis,NA
4c8288bfbd76958c0c094d87b97650f8,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,NA
fbbeae3dceada6928b2cdc472f5d9901,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,NA
84a1034f71767fa92491aebf1bdf7fdc,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,NA
f9130f059b9380b9961aef118b3a529e,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas,NA
f0deb5bac19f248fce27d93d918d3464,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Candidatus_Stoquefichus,NA
ad4e760fa406db6470c29766422a47d2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,NA
292a57429f3bed0adc53c07dc4c62c9f,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus,NA
e5450be8d98da604aa4a1fa0ed722fe1,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Parvibacter,NA
49e9cee41713f4c00f8b171ecaff09b5,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,GCA-900066575,NA
f5bf4e20e8a4c371b702c2cf491f56e8,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,ASF356,NA
18285598fe8215895e323b758326f2e2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,GCA-900066225,NA
9ff8565480eb4d1ae1feec02a0dfce35,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,NA
028e2c1b650e2e2b5847154a153e0166,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA
8fde870b4c3464dbd28fb743c07f36f1,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-010,NA
3311c81da0640c29e6d9ed4f0529d3d5,Bacteria,Firmicutes,Clostridia,Clostridiales,Defluviitaleaceae,Defluviitaleaceae_UCG-011,NA
4aa01b032f6f21994f27fd7c9ef08933,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-010,NA
b08002696e45f7e121334d154e2f5d4a,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_UCG-004,NA
204736c3bd4a4c1f840e9fc99a5155d2,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,NA
bbf6f74f140636ff3f33ef2bc3d892a3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-014,NA
1e65ef9ba16ebcd3b8413c31e58cada1,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyricicoccus,NA
6f06d4c3412c12274598b1a4bc468d3a,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Mucispirillum,NA
c8433912bf1d2d7d9dd177739211ae41,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Odoribacter,NA
8a8c39a3e855256f236f71f39bf300aa,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_6,NA
a172874a13d3e6df1391f0797d95d6bc,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenella,NA
762fd96b2d1336974fba68fedd33fefa,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,NA
76d6be90e19a660c9a84b35fa31d801c,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,NA
64864a4b76fc5cccc00f4e44f8dbcff4,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_9,NA
7186c67c129c329bce7d6c988267b231,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,Family_XIII_UCG-001,NA
46864a6aa122ecb439eb59a3c0542ee6,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,NA
8f2b821cd45696bb55b164853a1917c3,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenellaceae_R-7_group,NA
b92f84c206887ecd667f142dd3606ac3,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,NA
a5641950b2a3a47827849d91242f0ead,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,NA
37e0f2e7c7ab2a2f738b92a61085aec0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_FCS020_group,NA
6f0b4058c92e83c77533a218739a0e38,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,NA
87ab9c664033e00f6b64f2afc71a6d90,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_NK4A214_group,NA
5b74065cc4963be8f6447b2c9ffcbc87,Bacteria,Tenericutes,Mollicutes,Anaeroplasmatales,Anaeroplasmataceae,Anaeroplasma,NA
eee9bab26577ab7978a3c7bb4a082922,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,NA
5167710b7280856d9e512a4f58068687,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-009,NA
07a0081d4bc5233563d0269fc2c734d0,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Shuttleworthia,NA
f7040b791e2687141adc7be4ad81afd4,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium_5,NA
5adc2daa2981bc07e21b14d53496ff67,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,NA
f6fdab15a19dca0441b10f8c0969cb4d,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,NA
720832273d925b4115ed01c6d3df48eb,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Tyzzerella,NA
