,Vil1.03B.DTT33,Vil1.05B.DTT57,Lyz2.07B.DTT281.S123,Vil1.010B.DTT117,Vil1.05B.FP57,Lyz2.02B.DTT221.S61,Itg.02.FP409.S9,Lyz2.04B.FP245.S42,Lyz2.06B.DTT269.S111,Vil1.09B.DTT105,Itg.20.DTT505.S100,Itg.24.DTT529.S24,Vil1.09B.FP108,Itg.26.DTT541.S37,Itg.02.DTT409.S1,Itg.06.DTT433.S26,Vil1.10B.FP120,Vil1.08B.FP96,Vil1.01B.FP09,Vil1.02B.DTT21,Itg.22.DTT517.S12,Vil1.06B.FP69,Itg.16.FP481.S84,Vil1.03B.FP33,Itg.08.FP445.S46,Itg.24.FP529.S32,Lyz2.06B.FP269.S67,Vil1.04B.DTT45,Lyz2.03B.DTT233.S73,Lyz2.07B.FP281.S79,Vil1.07B.DTT81,Vil1.04B.FP45,Itg.12.FP469.S71,Itg.06.FP433.S34,Lyz2.05B.FP257.S54,Itg.18.DTT493.S88,Vil1.013B.DTT153,Vil1.02B.FP21,Itg.04.DTT421.S13,Vil1.014B.DTT165,Vil1.06B.DTT69,Itg.10.DTT457.S51,Vil1.13B.FP156,Lyz2.05B.DTT257.S98,Vil1.08B.DTT93,Itg.20.FP505.S8,Itg.22.FP517.S20,Lyz2.03B.FP233.S81,Lyz2.02B.FP221.S69,Vil1.07B.FP81,Itg.16.DTT481.S76,Itg.12.DTT469.S63,Vil1.14B.FP168,Lyz2.04B.DTT245.S86,Itg.18.FP493.S96,Lyz2.08B.DTT293.S135,Itg.10.FP457.S59,Lyz2.01B.FP209.S57,Lyz2.01B.DTT209.S49,Vil1.01B.DTT09,Itg.04.FP421.S21,Itg.26.FP541.S45,Itg.08.DTT445.S38,Lyz2.08B.FP293.S91,SLCFP021,SLCFP069,SLCFP111,SLCdtt075,SLCFP051,LYZFP317,SLCFP093,SLCdtt021,SLCdtt111,LYZdtt317,LYZdtt305,LYZdtt329,SLCFP075,LYZdtt341,SLCdtt051,LYZFP305,SLCFP129,LYZdtt365,SLCFP003,SLCdtt069,SLCdtt129,LYZdtt353,SLCdtt093,LYZFP353,SLCdtt003,LYZFP329,LYZFP341,SLCFP165,SLCdtt165,SLCFP147,SLCdtt147
2f65298490e0fe48b880145471ec54eb,6241,189,1959,2205,2894,4195,6089,8672,3467,1464,9714,6316,27553,6484,12687,40128,18291,39617,12936,7293,3959,2862,6701,9572,10434,8614,2825,3729,5348,2626,422,6106,14942,18141,1656,6719,4232,11279,41075,6370,753,11714,35626,5214,906,16214,11167,50201,26182,3677,8364,8011,37103,3834,8125,11733,18463,5673,3052,5716,8803,11422,6326,8816,1830,3446,2471,6270,1211,145659,15016,978,3265,78404,72674,7661,5042,32645,757,300443,3282,1688,6939,2018,12017,51159,8804,3094,12073,2271,11501,6834,20682,6298,11901
c42634f8d1aad4956aa9638465e86565,2093,40,2198,5186,7049,340,20,18,526,3169,147,1107,88720,1389,94,6028,38713,5156,7108,1392,720,8343,25371,4434,10647,1863,597,3228,38,3426,280,8794,12448,5837,4398,25438,6,3591,2871,6503,316,1794,201,5319,238,246,1427,269,2595,19964,14267,5272,2159,18,16479,678,5763,843,241,1485,1097,3698,6521,1047,11117,256,240,143,395,2717,715,3707,236,1759,743,18793,151,30667,237,3839,244,4047,731,740,222,8042,541,3552,1309,8486,20694,294,8294,74,8716
5ae5ad642b9c2cc68c4fc59e4902ff63,1266,1,4036,1401,747,969,894,1517,491,171,5416,2267,56,1534,841,785,255,35495,2643,3016,2677,7129,2305,4718,231,1800,684,977,705,5187,8,2509,2595,1580,488,1147,1,6132,776,173,15,158,3,649,133,8638,4420,2937,1795,1134,1895,1392,39,461,882,632,604,1895,1675,755,521,1348,106,548,371,2205,680,25,4882,795,1472,131,1637,551,398,3828,18,754,3193,1233,2498,984,6870,5617,1643,33,2805,78,4284,3729,747,797,825,5351,7093
f5fb42e8863737981eb6e04a3de22e29,265,11,239,534,2472,223,517,194,318,200,629,501,384,547,637,355,220,2647,1744,349,474,2173,1323,1525,990,732,321,951,346,311,51,914,1610,456,870,1814,12,1330,613,444,94,249,23,892,167,1164,1108,1467,511,2517,878,816,96,107,1886,381,620,976,404,447,245,933,487,490,1231,206,185,250,257,3514,356,582,660,2090,406,4088,158,957,287,2855,109,4013,236,3437,113,376,3525,370,124,1953,959,958,385,714,297
a589fa026973c67d0f1c7b741d85b90c,139,14,646,277,3717,680,527,550,221,69,1569,824,51,527,581,786,72,1476,833,280,432,3826,1274,628,1651,920,440,543,321,687,43,1027,1386,1990,601,1392,2661,731,2371,1000,86,359,134,1041,80,3414,750,717,1702,2826,1204,908,65,221,1178,1177,1346,1746,1089,169,1553,454,769,1231,662,328,899,707,1712,1042,1312,228,1475,2824,665,1574,587,601,1044,974,749,3221,441,1133,629,1191,5636,1050,486,1529,520,272,396,1517,1658
3bffd5a2b1cf48b46d1e51628c3551fc,16,0,13,20,164,13,47,12,12,6,14,19,27,15,32,27,16,116,82,29,16,49,21,63,84,31,14,39,6,40,3,119,83,68,48,31,0,110,24,17,0,10,0,21,3,63,57,40,33,101,17,15,7,5,58,14,57,27,10,13,31,38,22,28,32,0,20,0,48,299,7,9,9,53,32,15,11,103,27,320,17,73,7,0,0,53,6,72,0,0,116,105,79,41,7
6d5171bbc6ef97262119e6d152d82164,256,0,40,0,26,16,14,25,65,0,281,178,0,139,26,25,0,14,101,623,188,11,46,0,74,41,0,74,20,0,0,38,17,0,0,57,0,27,32,0,0,647,0,35,0,74,56,18,11,18,462,44,0,41,11,24,68,67,485,41,10,34,219,0,2,2,4,1,3,33,2,2,120,1546,1757,82,1,3199,3,1949,3,155,2,61,17,1107,13,40,4,42,27,82,2,309,4
235c319ab46f87d377a28a34ba10bfa1,496,0,148,287,820,74,119,136,52,146,80,121,695,149,279,365,807,349,923,557,124,510,354,1677,174,159,43,621,89,139,19,908,262,188,191,255,677,703,233,346,15,75,1861,209,26,178,256,302,235,451,306,138,92,56,379,106,199,205,50,231,77,149,168,112,223,77,232,24,264,627,114,106,177,485,201,519,4,613,113,188,248,210,397,161,380,110,167,86,472,416,282,769,894,331,411
89c209abd89a5232343a4c87c93cb4ea,20,0,4,16,32,0,0,7,0,4,11,53,997,36,16,43,59,886,13,0,0,10,10,0,40,66,9,1,0,4,0,7,22,38,0,4,0,5,31,5,0,15,34,7,0,28,7,4,7,12,10,25,238,3,0,0,32,0,0,0,9,40,18,0,3,0,0,0,0,2552,0,4,0,78,309,81,0,44,0,310,0,40,8,0,7,183,3,11,28,55,16,4,28,0,3
f745d265f36ea7eac26d97280e690796,203,0,0,37,14,0,0,0,0,92,8,0,281,11,3,19,17,1008,117,7,0,2,8,32,0,10,0,29,0,0,0,50,298,7,0,22,0,3,9,0,0,232,11,0,0,0,0,0,0,14,9,283,10,0,20,13,307,7,8,25,7,15,8,0,33,0,0,14,0,23,2,14,0,26,24,14,29,22,0,17,3,13,18,7,4,18,3,4,30261,7,5,0,1,14,30
48082d1ff66a9207ede6bf05e9846d6e,348,0,339,108,640,283,289,236,157,157,357,385,1052,590,567,787,1156,324,1166,351,227,662,872,1302,796,617,197,354,160,323,35,987,753,657,316,524,0,1043,697,380,37,139,33,363,58,983,528,708,758,974,552,352,91,104,543,267,603,514,185,291,291,1059,482,436,271,75,266,104,535,835,143,57,59,1010,574,2030,230,1158,337,91,285,498,500,168,277,230,101,426,150,1304,875,546,1433,769,1324
b3111baca54677926264de26b4a9bf7a,0,0,28,20,121,748,96,132,92,9,33,134,2,123,71,27,7,28,438,17,62,174,58,61,24,158,246,3,45,49,3,14,49,76,207,101,0,399,44,130,0,22,15,310,11,48,76,33,1296,90,54,42,35,69,55,133,73,1227,993,57,31,143,12,198,24,114,186,8,41,4,26,64,149,63,36,837,13,829,85,6,43,1453,321,394,42,32,41,42,298,1136,621,2,16,262,493
87c1f25ee57f851893eda4c10a460604,337,0,24,10,332,24,578,1540,531,0,289,707,30,132,1559,505,69,116,966,283,934,887,1026,1891,123,401,977,36,1780,0,0,360,68,566,603,189,0,1929,1199,174,18,52,0,2146,0,113,680,408,33,0,1544,65,24,1017,157,130,200,21,17,205,889,37,258,76,26,26,683,1036,1,29,26,1395,3275,1305,578,15,123,15,6,231,50,712,78,1092,113,2554,2952,1209,297,15,0,18,751,74,5
e8ed0e081283c5963ce9860944f651c6,5,0,59,133,910,77,148,93,242,46,195,256,15,211,159,62,55,454,293,108,245,229,122,325,164,228,309,81,58,26,15,166,462,50,303,129,0,360,178,358,12,170,14,436,149,404,314,59,94,108,102,442,29,34,117,77,296,123,121,84,106,187,160,170,48,36,144,401,359,0,112,45,435,66,74,552,126,353,763,29,61,546,147,498,65,218,436,154,120,809,492,79,328,86,360
b3ef12a80d40902556c2fd4de5924438,3,0,5,0,88,6,7,10,2,0,0,6,18,7,6,3,11,43,14,3,2,38,18,9,2,9,3,6,6,9,0,7,5,9,9,4,0,27,0,0,0,0,4,3,3,0,4,31,32,92,8,0,11,0,13,0,15,11,8,5,4,4,0,10,4,6,3,0,6,86,0,0,0,9,15,23,4,9,0,200,0,40,0,4,0,15,6,12,4,33,22,26,22,2,12
a30dd65fa0f17c9ffe88b70cc66d024b,0,0,0,5,10,2,12,0,0,0,3,3,5,0,7,4,11,40,5,0,3,23,12,6,9,12,5,6,2,7,0,16,15,9,5,3,0,5,4,0,0,3,0,3,0,14,9,9,3,22,0,0,0,0,4,0,8,4,0,0,9,5,3,10,9,0,0,3,9,21,13,0,4,4,3,8,0,0,0,27,0,7,4,7,0,6,4,6,0,12,13,7,4,9,8
4c8288bfbd76958c0c094d87b97650f8,258,14360,95,3057,25,26,0,6,148,13073,19,0,14,24,250,40,10,75,9,301,20,8,0,17,5,0,4,444,25,4,15604,10,7,6,0,29,4220,15,0,1381,26950,0,45,45,17433,0,0,7,5,12,109,16,157,0,0,339,5,6,30,128,0,6,27,9,19,0,30,26,53,322,76,0,0,493,588,666,0,618,0,405,0,588,0,16,0,349,0,123,390,564,220,12,1,1531,1
fbbeae3dceada6928b2cdc472f5d9901,104,0,17,173,200,0,41,30,0,88,0,0,397,0,63,0,415,476,162,22,0,0,0,436,55,0,29,220,0,0,0,695,0,0,39,0,797,80,0,181,56,0,2240,0,0,0,0,0,0,54,0,0,1125,0,0,19,0,0,0,16,0,0,0,51,45,1420,63,2,980,4,11,13,19,5,5,20,0,6,50,1,39,8,6,356,4,4,7,1,13,3,1,1,1,670,278
